date,tweet,Subjectivity,Polarity,Score
2019-05-12,❤️❤️ yes it’s hard can’t even explain don’t want to. If job find I know they’ll treat differently. C H O S E N Josh Groban? Travis Scott!???? I saw Backstreet Boys like 4th grade bc dad worked Sony gave tickets. You correct sir! 1) Backstreet Boys2) Artctic Monkeys3) Halsey4)Sia5) Lady GaGa https://twitter.com/MarkHarrisNYC/status/1127307575379283968 … Please tell Tim McGraw lie PLEASE TELL ME The original ALWAYS better look good way! No sign Constance Wu example. Thank youuuu light new desk perfect selfies. Not copy @artemisvoid I ordered new glass I’m STOKED. Do people still say stoked? Do I care? No! Recently I’m also getting -vertigo-blurry/shaky vision -weakness-fatigue Hooray!,0.5850757575757575,0.3165151515151515,Positive
2019-05-13,Thats pretty awesome! Journey? The next Iron Man. Soooo whereabouts find gift 90’s Cartoon God,0.6666666666666666,0.4166666666666667,Positive
2019-05-15,Fight fight fight,0.0,0.0,Neutral
2019-05-16,"Honestly, nap pit accurate Walder Frey voice: I bless rain Castamere",0.7666666666666667,0.5,Positive
2019-05-17,We never deserved her. And she’s gone.,0.0,0.0,Neutral
2019-05-18,"If I’m ‘close friends’ list Instagram, know I love I honored.",0.6,0.5,Positive
2019-05-19,#DateYourselfIn5Words “I miss Gameboy Color.” “Why dont online date anymore?”Me: https://twitter.com/SheRatesDogs/status/1129820187555794945 …,0.0,0.0,Neutral
2019-05-20,Soooo awkward. Koala tea content. 👌,1.0,-0.6,Negative
2019-05-21,"We beautiful funeral coworker’s Betta fish, Joshua. He missed. Thank much. It ordeal lol It feel “single bisexual office cool geeky way” Thank you!! 💗💗😊😊😊 Omg!!!! That’s weird, coworker said dog puked too! Should worried? PERFECT Ummmm Opposite Day? Cuz u cute You stop it! 😍😍😍😍",0.6404761904761904,0.41984126984126985,Positive
2019-05-22,"You know boob look good friend talk 5 whole minute Honestly! It’s wonder stress didn’t kill faster TWO brain aneurysms. Fair, yeah I also find upsetting it’s framed good thing. :/ Does anyone else feel it’s.... unsettling Emilia Clarke praised working even possibly dying? Like shouldn’t feel angry felt to?? UM look amazing?!",0.8,0.255,Positive
2019-05-23,You’re actual hero You admire confidence. Decisions made consequence accepted lol I’m sorry 💗,0.6,0.10000000000000002,Positive
2019-05-24,"I got Trixie accurate. There’s 😍💗😍😍 I also conflicted bc acting trailer chilling, like said... eehhh This favorite season ANTM I want both.",0.6333333333333333,0.10000000000000002,Positive
2019-05-25,Oh yes? Maybaps movie night???,0.0,0.0,Neutral
2019-05-26,The way cope tbh Lol ok fair event you! A literal crime didn’t invite you????? Ok visa yet,0.65,0.66875,Positive
2019-05-27,"THIS IS AMAZING It’s possible. They basically nap eat I’m expert shit It’s close like pet baby I don’t love kid me, baby cute. Is possible pet baby?",0.8833333333333334,0.23333333333333336,Positive
2019-05-28,Lol two! The black pink one olddddd. And thank youuuu So Dennis Duffy John Wick???? Thank youuuu. He’s best buddy. SO DERN CUTE OMG Thank youuuu! It’s favorite one! Omggggggggggg I love themmmm!!!! It’s like sense it!!! What kind dog Bailey? Represent!!!,0.6541666666666667,0.6229166666666667,Positive
2019-05-29,"There woman gym literally standing hand dryer, holding pant open one hand, drying pubes(?) other.",0.4375,-0.0625,Negative
2019-05-30,The outfit! The smile! The poses! We Stan!,0.1,0.5859375,Positive
2019-05-31,"No joke, I would fight bitch.",0.0,0.0,Neutral
2019-06-03,Got email “an existing dental plan” thought said “existential dental plan.”,0.0,0.0,Neutral
2019-06-04,"@isaacdraws1 I love display name omg. Fuck CarolMarry AntmanKill...myself bc I would NEVER kill Thor. https://twitter.com/honeysbieber/status/1135281422468390912 … To fair, point made.",0.7000000000000001,0.26666666666666666,Positive
2019-06-05,My mood tied food I access too. Like problem. .... well aren’t wrong suppose. That movie changed life,0.9,-0.5,Negative
2019-06-06,IDK man I think they’re neat. What kind monster abandon dogs? Why I want one badly???,0.7833333333333333,-0.04999999999999993,Negative
2019-06-07,THANK YOU?! 💕💕,0.0,0.0,Neutral
2019-06-08,Kickass video game heroine similar fashion YES I could see final girl horror movie. Performance art I’m sorry. He goodest boy,0.7,-0.225,Negative
2019-06-10,Isn’t heartbreaking?!?! So wtf want?!?!?!? DONT OPEN IT THEYLL EAT YOU,0.75,-0.48828125,Negative
2019-06-11,"It certainly is, friend. I made plan work four day row. Do I WANT meltdown?!?!?!! It’s feeler coming in. Nah, snitch get stitch man. Today I got mcdonalds Postmates sent me: 3 cheeseburger cheese burger one cheeseburger everything. I asked two plain cheeseburger y’all.",0.6428571428571429,0.269624255952381,Positive
2019-06-12,"They try feel bad! 👀👀 Every poster worse, this. He look like highly rendered old Harry Potter game character face",0.48133333333333334,-0.28300000000000003,Negative
2019-06-13,Cersei Mrs. Incredible Giselle! She’s always right isn’t Aurora! Ok y’all. I back pokeball-shit. Add Pokémon Go: 3335 7574 3508 Snow White! Tbh Margaery Sending love best friend! That encouraging thing I’ve ever heard. It come attention I cankles. I appreciate kind word trying time. Carrie do. 😊😊😊💗💗💗 Soooo cute!,0.5261904761904762,0.5091269841269841,Positive
2019-06-14,Prettiest girl! That cutest Lapras ever!!! Oh DARN Oh boo lol never before. Any Pokémon you’re looking trade? Yasssssss,0.7,0.8,Positive
2019-06-15,"There’s really cute chalk artist art festival go me. And zombie-like reflexes. Under eye circle now, right? Right????? I hate hit public, I like knowing I’ve still got even I feel like hot garbage. That’s bc you’re GOAT This like episode black mirror like WHAT EVEN WAS THE THOUGHT PROCESS",0.6173469387755102,0.05068027210884353,Positive
2019-06-16,Good see childhood crush stay gold. 😍😍😍😍😍 MA’AM,0.6000000000000001,0.7,Positive
2019-06-17,I screamed first time I saw it. KOALA TEA content.,0.3333333333333333,0.25,Positive
2019-06-18,The hellest yes. I dream last night someone else beat Racist Cheeto election I got scream get Oval Office,0.06666666666666667,0.0,Neutral
2019-06-19,Everything LIE A look dynamic me. Hell yeah!,0.16666666666666666,0.0,Neutral
2019-06-20,"I decided try intermittent fasting bc I... guess I hate myself. Anyway, suck I want spaghetti. And cute hi",0.95,-0.15000000000000002,Negative
2019-06-23,"Do baby, I know lawwww Oh I love 💜💜 Ahaha shocking, I know. I never look happy 😝😝 YOU ARE 💕💕💕 You look amazing!",0.875,0.26250000000000007,Positive
2019-06-24,Such underrated book! It’s definitely one faves. She’s perfect!!!! Thank gorgeous!,0.725,0.46875,Positive
2019-06-26,And ADORABLE LEGIT Yesss bc feel like it’s “I told so” situation. And explaining u like we’re stupid nothing.,1.0,-0.14999999999999997,Negative
2019-06-27,💛,0.0,0.0,Neutral
2019-06-28,I randomly want get switch. It’s gorgeous is. Look sculpt. The colors. The mood. People stupid exist. Mm yes do. Days I wish I could danceeeee,0.7999999999999999,-0.19999999999999998,Negative
2019-06-29,"I’m making two collage thank notes, prints, sticker friend hang original painting I have. GET ON OUR LEVEL. Eleanor Chuck Palahniuk good one.",0.675,0.5375,Positive
2019-06-30,You’re right say it. Teenagers hormonal move pack like vicious coyotes! The Good Place! THAT bullshit Amen. So envious!!!!,0.7119047619047619,0.09523809523809523,Positive
2019-07-01,👀👀 Holy damn!!! The cutest! ❤️❤️❤️ Um I mean WOW???? 😍😍😍,0.84375,-0.10625,Negative
2019-07-02,Honestly black.,0.43333333333333335,-0.16666666666666666,Negative
2019-07-03,You guy cute. 💛💛💛,1.0,0.5,Positive
2019-07-04,"Exactly, time energy worth much that! Seriously fuck em. Nobody need shit. The amount time I explain HP Lovecraft Cthuhlu mythos bc calendar ridiculous. Do people read????? I read book I little I scared sleep week. I read first reaction “well look amazing John Wick 3...”",0.5203703703703704,0.05879629629629631,Positive
2019-07-05,I love friendship much. Steve grown wonderful person.,0.6,0.5666666666666667,Positive
2019-07-07,It weak ploy get u sympathize tbh. Seriously?! Wtf wrong people?!!! Every time set one dog go nut THREE DAYS Ugh right. I hate overstaying parties. Like let’s scoot I’m full tired. Booooo. Someday. 💜💜I hope cookout good food! Anywhere near Pittsburgh?? Haha I saw that!! I like come visit meeeee. Are gonna tomorrow too?? A beautiful combination! Come visit meeeee Like push that???? Bria BRA OFF already!!! This guy I talking tried get meet bar I told I already jammies I’m thinking ghosting.,0.6827922077922077,-0.011668019480519452,Negative
2019-07-08,They snuffliest babies! 😊😊 Absolutely NAILS IT. I hope she’s next season LOT YESSSS I lost mind I found out. If true I could sing!!!! This one favorite body horror novels. So gross weird delightful.,0.65,0.29349888392857143,Positive
2019-07-09,"TRUE. Sorry AHS without Scream Queen herself???? I eating cheez-its bed, apartment, damn chihuahua I’m feeling really good it. I get The Black Farm its’ sequel. So there’s that. I’m honestly glad bc intention all. I just... I think would cool book. Can anyone recommend book/short story contains cult pig eating humans? Because... I would like read that.",0.7222222222222223,0.20555555555555557,Positive
2019-07-10,A fashion icon!,0.0,0.0,Neutral
2019-07-11,"There cannot more. There can. Not. I’m sorry. Please let know need anything difficult time. Literally moved side world. Yes! I see already lot design offers, I also design would love branding package business card you! Welp cancel date bc mental health deteriorated truly impressive rate today. Fuck snot-nosed nazi. I hate that. It’s like I wanted delicious, desert. Thanks tip! Picked kindle, can’t wait read them!",0.6363636363636365,0.1693181818181818,Positive
2019-07-12,lol get married hop mine then? Another year Bria always fortunate! Drop wishlist soon girl! Right would need work lot. A WHOLE ASS LOT. Me too. I really hate Billy. BIRTHDAY?!?!? I sort breakdown today I’m healing buying book,0.5809523809523809,0.19345238095238101,Positive
2019-07-13,My hand shake bad today I almost DROPPED dang ole dipping sauce. It would’ve RUINED THE MEAL.,0.6666666666666666,-0.6999999999999998,Negative
2019-07-14,That’s committmemt I commend it. That make sense. I feel sorry tbh. Chinese good. ..... hOW? UM?!?!?!! I didn’t expect perfection gay I HERE. FOR. IT.,0.5458333333333334,0.22916666666666669,Positive
2019-07-15,YOU HAVE BEEN BLESSED,0.0,0.0,Neutral
2019-07-16,Thank youuu 😊😊😊 😊😊😊😊,0.0,0.0,Neutral
2019-07-17,So I injured tit heal I hanging shirt like Amazon warrior.,0.0,0.0,Neutral
2019-07-19,"Thank friend 💛💛 I wanted relax, no, bc I’m fucking idiot I went wrong theater won’t make movie ticket refundable.",0.8500000000000001,-0.65,Negative
2019-07-20,Seems like you’re mixed day. I love it. Dressed heel jewelry look right! You’re kinda hero.,0.4619047619047619,0.2857142857142857,Positive
2019-07-21,"Therapist: And feel loss control?Me, buried mound books: ...Therapist: ooh boy. One first crush Yas bitch gotta!!! It’s thirty fucking dollars, live best life! Omg look great!!!!!! 😬 yeah that’s great feeling.",0.5722222222222223,0.47077414772727266,Positive
2019-07-23,My god. She transcended. Cza. I bet I’m fancy. Fucking THANK YOU I’m this.,0.8,-0.6,Negative
2019-07-24,I.... know make sense The BOW 🤩🤩,0.0,0.0,Neutral
2019-07-26,I like “ha oh yeah right” retweeted ARE PEOPLE REALLY THIS GROSS???? In case anyone interested: Eph: @SiwelP Fet: @TheAtticus Nora: @Addison_Peacock Sardu: @CummingsDG I’m reading The Strain series picturing character voice voice actor @NosleepPodcast He dope baker. I hope beech! I bitch weren’t grateful enough. So I said fuck em.,0.3892857142857143,0.06636904761904762,Positive
2019-07-27,Being nigh translucent I tell you: like painful molting. It’s iconic,0.7,-0.09999999999999998,Negative
2019-07-29,Season Four: The Return Barb.,0.0,0.0,Neutral
2019-07-31,AnimorphsThe Secrets Droon Juniper #3FaveBooksWhenIWasAKid,0.0,0.0,Neutral
2019-08-01,This make lot sense Wanna dm link? 👀👀,0.0,0.0,Neutral
2019-08-02,A coworker quit today I got back office shriek-laughed insane jealousy.,0.5,-0.5,Negative
2019-08-03,*hot dad,0.8500000000000001,0.25,Positive
2019-08-04,"This beautiful! Does Instagram anything? If I order food third time row, insanity? Or quest really fucking good? I picked entire apartment AND fully cleaned bathroom. Not bad girl seratonin. 🤣🤣 THE HAIR 😍😍",0.5783333333333334,0.41,Positive
2019-08-05,"It fits, believe ;) Thank you!",1.0,0.3125,Positive
2019-08-06,*multitasking AND FOR WHAT. I’m angry. I wanna punch Ross face. Seriously bullshit. It’s creative amazing show. Like season incredible!!!! Are trying cancel The OA?!?!?!!?!?? NO. My sister I saying this!!! Butter emoji riot!,0.8933333333333333,0.25333333333333335,Positive
2019-08-07,"It’s 2019 mood year Me: exhausted, hyped caffeine, ate crappy breakfast, back leg hurt: W O O. lEtS gEt ThIs BrEaD!!!!!! Rise grind! 😤😤 1 miniscule problem: occurs Me: pic.twitter.com/WFWmS1fBSl The prophecy fulfilled! I’m hype",0.35,-0.2,Negative
2019-08-08,I double horrified Bumble here!,0.0,0.0,Neutral
2019-08-09,New FearsThe PowerAmerican Elsewhere Children TimeThe Anomaly https://twitter.com/ellle_em/status/1159450566801743872 … They wanna now???,0.45454545454545453,0.13636363636363635,Positive
2019-08-11,"Young Restless Frankenstein#AddAWordToSciFiMovieOrTV pic.twitter.com/h4TjdeijQ5 😍😍😍😍😍😍😍😍 This best compliment I’ve ever gotten ngl You know well. Secrets out. I huge cock separate account it. I’m DESIGNERMost job ALIGNING THINGS My DOG BEST FRIEND I DEPRESSION, ANXIETY, MOOD DISORDERI like CARBS If don’t like PLEASE DONT LEAVE GOD IM SO ALONE https://twitter.com/DavidGilbertCCM/status/1159189747589189632 … Omg out?!?!?!??",0.47500000000000003,0.625,Positive
2019-08-12,"Honestly I disappointed The Exorcist novel. But yeah I’m comparison it’s worse. This empathetic emotional, uncertain. I loved it.",0.7,-0.11249999999999999,Negative
2019-08-13,This would cool,0.65,0.35,Positive
2019-08-14,Whoa it’s Why school officer AR-15. Why. Thank making entire morning lol Omg I would see this!!!!!!!!! I’m predictable lol And well! ❤️❤️😊 This adorable gave seratonin. Omg I would think kidnapped AND tortured! He’s pretty That’s right say it. Like good thing yes. I eat sauce come LIKE GOD INTENDED.,0.7075892857142858,0.4575892857142857,Positive
2019-08-15,..... feeling called lol,0.7,0.8,Positive
2019-08-17,@odafins u Crossover Stranger Things kid Typewriter kid solve paranormal mystery. @netflix let’s get bread.,0.0,0.0,Neutral
2019-08-18,Wait like. What wrong meat. 🔥🔥🔥,0.9,-0.5,Negative
2019-08-19,I want badly move Arizona.,0.6666666666666666,-0.6999999999999998,Negative
2019-08-20,A Head Full Ghosts!,0.55,0.4375,Positive
2019-08-23,Gad DAMN I’m almost again!!! Those braid 😍😍😍 Dude I know. I aged like grape 😂😂😂 BABYFACE,0.4,-0.1,Negative
2019-08-24,"No, you’re growing person lol I imagine tbh. I hate You deserve moon stars!😌🌘🌟 This damn cute. Don’t let hear you!",0.8666666666666667,0.20833333333333334,Positive
2019-08-27,Ugh boy bye SOOOO CUUUUUTE!!!!!! 💖💖💖💖💗💗💗💗🙌🏻 Omg I can’t wait see He miss too! He’s super mad bc I’ve working late. 😩,0.7555555555555555,-0.19722222222222222,Negative
2019-08-28,I want work haunted bookstore.,0.0,0.0,Neutral
2019-08-29,"Oh yes @odafins seen Lisa Frank Casetify phone cases?!!!!! The slow degradation mind severe depression, anxiety, medication, etc.",0.39999999999999997,-0.30000000000000004,Negative
2019-08-31,"😍😍😍😍 What cutie!!!!!!! The first! The yellow really pops. Yes worth it. It does!! I make playlist much, I thought I could give shot. I’m tired limited library. Cupcake Rhea!!!!! Does anyone else use Apple Music feel worth it??",0.2220238095238095,0.10790841238839285,Positive
2019-09-02,Haha reallllll,0.3,0.2,Positive
2019-09-03,6.... lol WOWWW. Just wow. Wow.,0.9,0.3333333333333333,Positive
2019-09-07,Me unless there’s good mac n cheese Hell yes girl🌟🌟🌟,0.6000000000000001,0.7,Positive
2019-09-08,"Is flapjack reference? Honestly it’s creepy terrifying. Like it’s thinker, VERY good. Ya know PGH cool events.......",0.8575,-0.060000000000000026,Negative
2019-09-11,Twas simpler time.,0.0,0.0,Neutral
2019-09-12,Omg mum’s Poirot gal too!! I’ve seen many.,0.5,0.5,Positive
2019-09-15,"I love series. It distorts@your reality man I legit upset moment like ahhhhhhHHHHHHHHH HOW DO?! Me, freaking fuck out: filmed this??!!?!!?Also me: drone. They’re called drones. https://twitter.com/Unexplained/status/1169712807752929280 … AnnihilationA Head Full Ghosts American Elsewhere The PowerThe Last Time I Lied https://twitter.com/cxorlando/status/1172234836720984066 …",0.36333333333333334,0.11499999999999999,Positive
2019-09-16,This always look,0.0,0.0,Neutral
2019-09-18,It’s comfy!! I got BoxLunch.,0.0,0.0,Neutral
2019-09-19,The Jehovah’s Witnesses founded Pittsburgh. My city..... failed me.,0.3,-0.5,Negative
2019-09-20,Ughhhhhhhhhhh worst I use this!!! I love much.,0.6,-0.09999999999999999,Negative
2019-09-21,Brainless,0.0,0.0,Neutral
2019-09-23,"A Simple Favor, I like call “Blake Lively Please Step Me”",0.4285714285714286,0.06818181818181818,Positive
2019-09-25,Debbie said gay fucking rights!!!!,0.6916666666666667,-0.29166666666666663,Negative
2019-09-28,Word. You’re goddess Ma’am....,0.0,0.0,Neutral
2019-09-29,He sweetest lil bean!!!! Thanks I hate it! Haha I swear god quote Hulu movie “Pure.” 🤢🤮 What movie this?,0.47500000000000003,-0.09642857142857145,Negative
2019-09-30,"Thank god, I thought something wrong I definitely didn’t see end coming. It really locked theme.",0.5333333333333333,-0.09999999999999999,Negative
2019-10-01,"To fair, I’ve terrified singing public bc I hate voice it’s bad. Wow well.... puppy cuddles?? I always get soy milk mine taste better. But it’s still mediocre. Ah. They’re kind people. Is way frame like you’re taking charge responsibility? Like you’re favor? What I would suggest alternative. People like solutions. Like Zu something, I put somewhere quiet (a room, move around) let calm. It help lot. Wasn’t hobby lobby also anti-lgbt+?? I never would guessed it’s native language! You’re amazing!",0.7196969696969697,0.0931818181818182,Positive
2019-10-02,"Alan Cummings The murder I would commit, lemme tell you.",0.0,0.0,Neutral
2019-10-04,Me: it’s casual Friday! I’m going wear comfy light gray sweater! Work: we’re tye-dying shirt todayMe: 😫😫😫,0.7833333333333333,-0.06250000000000006,Negative
2019-10-06,Just move mouth lollll So pretty!!!!! Oh gosh I love too! Thank beautiful message. I’m glad became friend ❤️❤️❤️❤️❤️,0.9,0.68448486328125,Positive
2019-10-08,"Hmu need ink 😉💗💗 Peeps, I open business, tell want I make happen. And I would honored art physical beings!!!! You rebel 😍 Be careful, cuz I’m gonna marry keep saying lovely things!!!!!! That legitimately best compliment I’ve ever gotten!!! Thank much 💖💖💖 I feel like I physically cannot eat it’s unlike me? I think it’s medication damn.",0.4336734693877551,0.3,Positive
2019-10-09,Wow absolute fuckass But.... Yessssss congrats milestone!!!,0.95,0.2453125,Positive
2019-10-11,This is... disappointing.,0.7,-0.6,Negative
2019-10-12,I do! Mine help lot relaxing sleep. I’ve hunkered survived many anxiety attack thing.,0.5,0.5,Positive
2019-10-14,Ok I don’t know I would die Tabasco Josie. “Just relax!”Me: https://twitter.com/marsupialpuddng/status/1183697312096251910 … pic.twitter.com/wkmz5SmqNU,0.5,0.625,Positive
2019-10-16,Me: I think I’ll able focus today. My anxiety: pic.twitter.com/OhSKKsKytF OMG I WAS ALSO THINKING OF MINDHUNTER This sound like discovery serial killer something????,0.5125,0.45,Positive
2019-10-18,LOL Right.,0.6178571428571429,0.5428571428571429,Positive
2019-10-19,"Bitch come Mexico meeeee. I’ll hide u purse. Truth!!!!! This first hot girl pic I’ve gotten year. Actually? It’s Madame. I strive effortlessly glamorous you, darling. Hot Girl Autumn (robe brettmanning insta) pic.twitter.com/d9Wp28wCeE",0.5333333333333334,0.1875,Positive
2019-10-21,"Yes, absolutely!!!!!!",0.9,0.762939453125,Positive
2019-10-22,"Hell yes girl, get creativity.",0.0,0.0,Neutral
2019-10-27,MA’AM,0.0,0.0,Neutral
2019-10-28,Hahaha fucking confused.,0.55,-0.1,Negative
2019-10-31,"Bitch love you!!!! God dammit man, I haven’t even coffee. Proud you! We love You see road walk paved goldAnd it’s always summer, they’ll never get oldThey’ll never get hungry, they’ll never get old gray Where going without ever knowing way? pic.twitter.com/dMYaamHlu5",0.6000000000000001,0.65,Positive
2019-11-01,Wow really said fuck kid whole chest. Is hunger games?,0.5499999999999999,0.02500000000000001,Positive
2019-11-02,"God damn Jeff, I’m broke *clicks preorder* https://twitter.com/jeffvandermeer/status/1190639960287784961 …",0.0,0.0,Neutral
2019-11-05,I’m also accepting death animal uprising.,0.0,0.0,Neutral
2019-11-13,"Bears. All bears. We wouldn’t need battle bc everyone would shit scared “the bear lady.” Jokes them, bc would bomb as tea parties.",0.8,-0.2,Negative
2019-11-15,Right back you!!!!! *heavy breathing*,0.3452380952380952,0.028571428571428564,Positive
2019-11-23,Is Nicki Minaj lyric,0.65,0.25,Positive
2019-11-24,"That make heart happy. Let lovely bride know I’m open painting one ;) Awe yay!!!! I’m glad like it! Like I said, please feel free use want. I’d honored designed dress. :)) Sorry forgot tag u @lavendrsblu Hmmm let paint it. Also (you’re probably joking) do! I must see pics!!!! 💖💖💖💖 Yes, find seamstress make YES.",0.88125,0.30441894531249997,Positive
2019-11-25,I got u boo. I got you. 💖💖💖 You gotta chart out. How much pie Jason? How much chidi? Eleanor? Michael? I also bougie Tahani energy it’s le anxiety trash bag-ness. I’m deffo Chidi Eleanor. I wish I woman. And I thought I couldn’t love more. I feel It’s late! Come Pgh!,0.42000000000000004,0.18624999999999997,Positive
2019-11-30,"You thoughtful, kind person!",0.7,0.575,Positive
2019-12-01,Darn Stop cute,1.0,0.5,Positive
2019-12-06,"Heck yes! PSA: I nice internet, friends. I DO NOT MAKE THE RULES. I JUST SUPPLY THE LOVE AND SUPPORT. Woo #fixationlife I’m glad fixation right painting bc others A. TRIP. decade. pic.twitter.com/JUSmiABYhc Glow upppppooo",0.7839285714285714,0.4714285714285714,Positive
2019-12-16,"As you, madam!",0.0,0.0,Neutral
2019-12-18,I’m sorry buddy :(( wanna taco bout I’m here.,1.0,-0.625,Negative
2019-12-20,Ok I’m convinced. Me sexy villains: pfft. What jackass. I can’t even. Wow........................ I want hatefuck me????? What???i?s??happ?en??ing???,0.85,0.15,Positive
2019-12-24,Proud you!!!!,1.0,1.0,Positive
2019-12-25,"I feel you. Yes! Would love good dtiys challenge! Anyone else #StarWarssona?Yes, I realize make huge dork. pic.twitter.com/7wkDGJLYWR",0.7000000000000001,0.5916666666666667,Positive
2019-12-26,I make face whole lot...,0.4,0.2,Positive
2019-12-27,Oooo yes! One faves. Love it! Wow 🤩😍,0.8,0.3625,Positive
2019-12-31,If help I got thing.,0.0,0.0,Neutral
2020-01-02,Yassssss excited you!,0.75,0.46875,Positive
2020-01-08,God damn I want I also can’t wait read book.,0.0,0.0,Neutral
2020-01-09,I’m 110% tbh.,0.0,0.0,Neutral
2020-01-11,*horns blare*Me: I’m gonna it. Not gonna. Not toda-LETS GO GIRLS.” pic.twitter.com/QsGhuY3zir,0.0,0.0,Neutral
2020-01-14,@netflix Is movie bc I need see it.,0.0,0.0,Neutral
2020-01-17,You’re damn right did. Slay bitch.,0.5357142857142857,0.2857142857142857,Positive
2020-01-23,I got “damsel distress” I call bullshit.,0.0,0.0,Neutral
2020-01-24,This movie ruled! I never Goonies fan.,0.0,0.0,Neutral
