date,tweet
2020-02-27,"Thank you Saskia, very cool"
2020-02-27,"Keep your head up bro, get through the tough times to have better ones, you got this bro"
2020-02-27, pic.twitter.com/BHDPrkF9ag
2020-02-27,@Vihzualz im beating your ass
2020-02-27,Im sorry for your loss bro
2020-02-27,nah lol
2020-02-26,BTR- Boyfriend
2020-02-26,"Isnt cringe bro, keep the good shit up"
2020-02-26,😳
2020-02-26,Im sorry to tell you but that is ass
2020-02-25,i swear ima come next steam i feel fake af
2020-02-25,atleast give me a volume warning my i had this on speaker at the church in the middle of a prayer
2020-02-25,"good to hear big man,  hope you're able to help yourself and make those changes if not im always here x"
2020-02-25,"Alright, whenever you get back josh just know you're a fucking god. Hope you get better brotha, if you ever need to talk im always here."
2020-02-24,"@sqmuelo :31
@PhaseNA__ :44
@thunderbtw :22"
2020-02-24,😬
2020-02-24,"Hes had Twitter since 2012, so i mean.."
2020-02-24,Gg
2020-02-24,nonce
2020-02-23,🧠
2020-02-22,I bet you $10 to spell my name with your eyes closed
2020-02-22,Hey... keep you head up bro pic.twitter.com/4QkyFFAjwL
2020-02-22,@Maafiax @SaskiaKnows @TodayIWasSilly silly you're just an add on
2020-02-22,done ked
2020-02-22,damn you got her ass
2020-02-22, pic.twitter.com/lGQO9RKNWo
2020-02-22, pic.twitter.com/qE3UhsbVyI
2020-02-22,You honestly didnt need to explain such common sense.
2020-02-22,im just going to assume you're trolling
2020-02-22,this is top 3 most dumb things ive seen on this app
2020-02-22,what does this mean i know damn well u aint leaving me
2020-02-22,okay what size are you
2020-02-22,Hisoka the goat
2020-02-21,ur gonna ego bruh 😠
2020-02-21,When im home lets play and dont ego
2020-02-21, pic.twitter.com/V0eKirqW7H
2020-02-21,DiCaprio 2
2020-02-20,more like JID for me
2020-02-19, pic.twitter.com/y58W3SLX8b
2020-02-18,I know I'm smart
2020-02-18,Have a fan over your ps4
2020-02-18,"Damn jon, who hurt you ong pic.twitter.com/sHGwuRyL5S"
2020-02-18,vibes pic.twitter.com/phfSquDMQN
2020-02-18,lmaooo
2020-02-18,Manic*
2020-02-18,"maniac depression, look it up"
2020-02-18,You're probably bipolar like me :)
2020-02-17,Fruitopia is ass and you short as hell ong
2020-02-17,"Hes a very good coach, idk what that guy is on about"
2020-02-17,😡😡😡😡😡😡
2020-02-17,"can i get some, wife took all the money"
2020-02-17,Hey 😔
2020-02-17,"Fuck josh, you took my wife and the kids 😠"
2020-02-17,nigga gey a real girlfriend and its waaaaay harder
2020-02-16,use a medkit you'll be g
2020-02-16,idk who you are but you're getting blocked for insulting Perry
2020-02-16,I felt this 😪
2020-02-16,godofthunder or something
2020-02-16,Im down
2020-02-16,What? Nigga get on fortnite
2020-02-15,500kg deadlifts at minimum pic.twitter.com/rcVJufo8pL
2020-02-15,sorry but you need to be 6'0+ in order to work with us
2020-02-15,Me n My homie after our gym session pic.twitter.com/sFWNdGdBxz
2020-02-14,"yea ""im was"" wondering too"
2020-02-14,change bio kid
2020-02-14,...?
2020-02-14, pic.twitter.com/sl4EHb8ILz
2020-02-14,bro shut yo dumbass up about this following shit lowkey tired if seeing this on my tl
2020-02-14,Well damn pic.twitter.com/bYyahLsitx
2020-02-14,Do you understand how hard it is to do that lol
2020-02-14,sup ted heres a haha pic.twitter.com/MDRwl3RNN4
2020-02-13,Good choice joe
2020-02-13,You're clapped
2020-02-13,Buy me a pc
2020-02-12,:    )
2020-02-12, pic.twitter.com/MkuY1rPR97
2020-02-12,Me 2
2020-02-11,"Why Do You Type Like This, Stop."
2020-02-11,Goodmorning pic.twitter.com/eHGh3UUCmG
2020-02-11,"You need to stop obsessing over number bro, deadass."
2020-02-10,Can tell million can give yes
2020-02-09,@YbnCordae @YbnCordae
2020-02-09,"You're just nasty, got damn."
2020-02-09, pic.twitter.com/QPPuCbWBxr
2020-02-09,good looks
2020-02-09,how you watch this
2020-02-08,All she has to do is call security...and job is done.
2020-02-07,"Karen, are you seriously going in between the two of those kids with all that adrenaline going through their body? Cause i know damn well im not."
2020-02-07, pic.twitter.com/h9xqA9AMko
2020-02-07,Adapt Zap.
2020-02-07,Wheres cod
2020-02-07,This reminds me of your black ass tho pic.twitter.com/zCFDxJdUnW
2020-02-07,i aint got shit bruh
2020-02-07,Shut yo broke ass up 😭
2020-02-06,"Well, thats how he runs, not saying thats what i support but its just what he does and cant stop him from doing it at all."
2020-02-06,"He does YouTube news, what is he supposed to do?"
2020-02-06,How is 5.4M Small? How much do you have? Lmao
2020-02-06,"We do have some weird ravens fans though, not gonna lie."
2020-02-05,Fair play
2020-02-05,"You've been sleep my friend, welcome."
2020-02-05,Wow you're so funny pic.twitter.com/A6bwSelAxF
2020-02-05,Id thought cowboys would be under trash for being delusional for so long
2020-02-05, https://lovecalculator.site/love/4392349 
2020-02-05,"You honestly need to use a different url to actually get people lmao, when i opened it literally said ""love calculator prank"""
2020-02-05,Your welcome
2020-02-05,You're ass
2020-02-05,"Fuck no, in a few years maybe"
2020-02-04,@GlFTEDD @SaskiaKnows
2020-02-04, pic.twitter.com/UhZzLteHUb
2020-02-04,yes
2020-02-04,They look soooo enthusiastic and happy to see Pat.
2020-02-04,Its just the whole point of the joke mate.
2020-02-03,:(
2020-02-03,😂😂😂➡️➡️💭💭💭🦷💣
2020-02-03,💬🗨 🕴🛌🛀➡️➡️🏋️‍♂️👨‍🍳🙊➡️➡️👒🎮🎮🎮
2020-02-03,is it solo
2020-02-03,lol
2020-02-03,What if it's derrick henry
2020-02-03, pic.twitter.com/Kwiyka0u8c
2020-02-03,I dont miss crack aiming though lmao
2020-02-03,hi
2020-02-03,😭😭😭😭😭💀
2020-02-03,Honestly just disappointing
2020-02-02,But delivered means they didn't even care for your message lmao.
2020-02-02,"Oh i see, have a good day then sir."
2020-02-02,"He isnt hating, its called sarcasm. Catch it."
2020-02-02,"Its literally a joke, ever heard of it?"
2020-02-02,Rate the fit real quick doe 😳 pic.twitter.com/keA4UUVfyg
2020-02-02,enjoy this random video then pic.twitter.com/y8F6puxJaQ
2020-02-02,You still got hiccups 45 minutes after? Damn
2020-02-02,"oi, drink lots of water is basically it"
2020-02-02,"I honestly dont care, im not defending anything, but this will literally blow over in 2 months time so i really don't care lol. Just kinda exaggerated it a bit and had to respond."
2020-02-02,"You're saying that like he killed someone or some shit, lmao."
2020-02-02,fuck
2020-02-01,"true that, but dude is kinda weird"
2020-02-01,lol
2020-02-01,@Trxnzition why do you follow this troll
2020-02-01,heres a vid for you pic.twitter.com/GJauY9CxCi
2020-01-31,Yall thought 😂😂😂😭😭😭😭😭😭👌👌🤙🤙🤙🤙
2020-01-31,Go to hell
2020-01-31, pic.twitter.com/I6FmNgRLn4
2020-01-30,Stop playing $8s and you'd have some cash
2020-01-30,shut up
2020-01-29,Babies* idiot
2020-01-28,@SaskiaKnows
2020-01-28,YOU'RE CRACKED
2020-01-28,@SaskiaKnows
2020-01-28,The shoe is literally black. What?
2020-01-28,"kola, soda its the same"
2020-01-28,😂😂😂😂😂😂😂😂😂😂 Nice Joke
2020-01-28,I stg you only post proof when y do good
2020-01-28, pic.twitter.com/zDBDvhfx1W
2020-01-28,no
2020-01-28,"If its online, definitely Illey"
2020-01-28,"No joke, drink plenty of fluids, wash your hands frequently, and get plenty of rest for your immune system to work better. I dont want you getting sick on us Teddy 🤒"
2020-01-28,Hell no ima lose full on that shit 💀
2020-01-28,down for something
2020-01-27,And you also think its funny to joke about someone's death?
2020-01-27, pic.twitter.com/jUN8iUOa3G
2020-01-27,What is there to roast? You're a god no matter what bro
2020-01-27, pic.twitter.com/PmKQU4fc2V
2020-01-27, pic.twitter.com/RyWxfWWPCg
2020-01-27,woah.
2020-01-26,This is me all the time.
2020-01-26,What have i just watched mate?
2020-01-26,This guy is unstoppable
2020-01-26,LETS GOOOO MIKE
2020-01-25,Defo not going to Florida then lmao
2020-01-25,This makes me not wanna go to florida anymore lmao shit gonna be dead asf.
2020-01-24, pic.twitter.com/RoQa2FzeG9
2020-01-24, pic.twitter.com/JosfYrnfhW
2020-01-24, pic.twitter.com/p327wTOlwR
2020-01-24,Double=two therefore its two binds
2020-01-24,Two binds
2020-01-23,Me too
2020-01-23,You too bro pic.twitter.com/5EpF8p5nWG
2020-01-23,Wasgood
2020-01-23,damn shit old as hell
2020-01-22,Guy @joshhnvo really got booted 💀💀
2020-01-22,Wuzgood
2020-01-22,id consider actually streaming regularly
2020-01-22,"How is pointing out someone is male, homophobic?"
2020-01-22,So you spit on a man and kick him and you expect him just to stare at you and do nothing about it? Get a fucking grip.
2020-01-21,a long time
2020-01-21,i can do something else with your ass 👀
2020-01-21,@downloaderbot
2020-01-21,Is that an analogy for dick? Im confused innit.
2020-01-21,Giving birth.
2020-01-21,And then after an hour the storm would come in to your inevitable death.
2020-01-21,Thats gold.
2020-01-21,What a weirdo
2020-01-19,That's literally so untrue lmao
2020-01-17,Happy Birthday
2020-01-17,But why do you have yo be so disrespectful though? You couldn't have just asked in a better way and people would be more than happy to tell you about him.
2020-01-17,This shit fire as fuck yoo lmao
2020-01-17,why arent you asleep lol
2020-01-17, pic.twitter.com/uEGSRiVC0S
2020-01-17,I honestly dont think the TEN game gonna be that high scoring
2020-01-15,i mean you wanna fall im love doe 👀
2020-01-15,bro 💀
2020-01-15,tryna play something
2020-01-15, https://www.playstation.com/en-us/campaigns/2019/wrap-up/?PXP=5ab6c7eb31a5d2ad1d3b55e0e01da1a165968dde1589adbe3b4eed19a497887d …
2020-01-15,600th reply
2020-01-15,To get that bread
2020-01-15,"I think you missed the word ""Return"" hes been there before."
2020-01-14,😂😂
2020-01-14, https://clips.twitch.tv/EnergeticAltruisticPenguinBatChest … yea i know
2020-01-14,how u got more hours than me but still better 🤔
2020-01-14,W̸̠̤͈̊̓̊̐͝a̴̗͓̤͓̟̬̫͂̿̀̇͐̆́͋̐ş̸̜̲̥̜̄͛ͅs̵̯͈͖̖̉̆͠ũ̷̢̢̻͍̗͍̔͜͝ͅp̶̨̳̤̦̣̪̖̩̝̈̃̿̀̄͜ ̸̛͇͎̭̓̈́̈́̾̅̋̈ͅd̴̖͇͊͋̔ạ̸̗͙̖̎̓͂̏̕w̴̨̼͇͉̻̱̪̐͛͛̚g̵̰̗͙̺̯͖̭͒̌̀͊̋͒́̑
2020-01-14,I swear bro 😂😂
2020-01-14,wish i could get bo3 :(
2020-01-13,Wtf did i just watch 😭😭
2020-01-13, pic.twitter.com/JJGYzC77v8
2020-01-13,Use fhe NFL app?
2020-01-13,Wasgood daniel pic.twitter.com/pgpMWDiV3T
2020-01-13,alrighty good looks
2020-01-13,something
2020-01-13,stream
2020-01-12,Morning you god
2020-01-12,i wanna see henry now tonight
2020-01-12, pic.twitter.com/gm06CyjnC5
2020-01-12,"that skin is ass, you'll hate it in the longrun"
2020-01-12,i mean...
2020-01-12,if they put anyone out there besides witherspoon then i would agree
2020-01-12,that guy is sooooo bad
2020-01-12,"Idk what website that is, but the next 2 episodes are gonna be so good, lmk when u watched it bruh"
2020-01-12,The most recent episode is miles better
2020-01-12, pic.twitter.com/0D2yOz1tY9
2020-01-12,"shut up, both of you"
2020-01-11,"its good, im still kinda early tho at the part where they found treasure to get in the hotel thing"
2020-01-11,im still watching bro
2020-01-11,no clips of me tho but og steady getting shit on
2020-01-10,Who in the hell just takes a picture like this lmfao
2020-01-10,"Damn bro wtf, i really hope you do get better."
2020-01-10,How u look exactly like @berleezy tho
2020-01-10,yeeaaa oookkk tim 😂🙄
2020-01-10,It must feel nice to say all night now lmao
2020-01-10,DAM BRO U FIRE
2020-01-10,"Vacancies are like seatblets, you buckle up and your chances of surviving are higher than someone who doesn't have a seatbelt on."
2020-01-10,"it isnt, mw literally has so many bugs its crazy. Bo4 was actually a stabilized game and didnt have 9999 bugs to fix."
2020-01-09,Well he won 3M i was wrong.
2020-01-09, pic.twitter.com/ptYhcNHtXW
2020-01-09,The kid that made more money in a day than your whole family has.
2020-01-09,the little kid that made a million dollars in a day
2020-01-09,made him millions
2020-01-09, pic.twitter.com/JoMiKNEg4b
2020-01-09,why he kinda look like callux
2020-01-09,yoooo this has to be a troll 💀
2020-01-09,Oh nah im suckin the fuck outta some dick im jus tryna know
2020-01-09,how big
2020-01-09,how long
2020-01-09,There was a press conference? Lmaooo
2020-01-09,Forgot that was happening tbf
2020-01-09,i paid for all my friends at lunch today
2020-01-09,hahahah cant relate
2020-01-08,"You have a point, all we can do is wait."
2020-01-08,i jusy really hope trump makes a right decision
2020-01-08,i say we dont 💀
2020-01-08,i mean it all depends on how trump reacts to it
2020-01-08,"The bombing is real, but that video is so fake 😂 ive seen that vid before"
2020-01-08,its called getting a paycheck
2020-01-08,@thunderbtw give me kissy kissy
2020-01-07,try not to lose full in 2 hours
2020-01-07,we HAVE to play when I get home
2020-01-07,and we just lost GG
2020-01-07,only if i can 3rd wheel
2020-01-07,i treat her right bro please dont 😞
2020-01-07,why did i actually read all of this
2020-01-07,Why you still charging your phone at 100%
2020-01-07,BROOO!!!! THANKS FOR THE BRAND NEW MANSION AND LAMBO YOU ARE THE BEST
2020-01-07,"If thats real, that barber needs to go to jail."
2020-01-07,😳😳
2020-01-07,good thing my girl doesn't use twitter
2020-01-07,i dont know how to fight this would be me :( pic.twitter.com/Y9eHhPS5Dp
2020-01-07,he lowkey hit that
2020-01-07,fuck these cox people bruh free my dawg and let him stream
2020-01-07,Charge your phone
2020-01-07,@TeddyRecKs
2020-01-06,I mean we signed off of it first.
2020-01-06, pic.twitter.com/E0JIHdcEhR
2020-01-06, pic.twitter.com/47eemBPhUK
2020-01-06,dont worry about it this kid is a wasteman nonce pic.twitter.com/mwOBPTSJJo
2020-01-06,yes
2020-01-06,"Josh, you get a extra bed bro."
2020-01-06,Do you know how big Dakotaz was before fortnite? Lmao
2020-01-06,i dont get it
2020-01-06,bro?
2020-01-06,yea facts lol
2020-01-06,Dont get me wrong brees had like 12 or something completed passes in a row dude is a god for being 40
2020-03-16,please fucking explain to me how this was a blessing.
2020-03-16,welcome to 2020
2020-03-15,"I think hes a 10, don't worry Simon i got you."
2020-03-14, pic.twitter.com/ctQCPHuVXw
2020-03-14, pic.twitter.com/4AZnnFslzD
2020-03-14,shut the fuck up 🤩
2020-03-14,Yktv bro
2020-03-14, pic.twitter.com/lkHG5yoCBT
2020-03-14, pic.twitter.com/TY4sMFBz6G
2020-03-14,already used that one bossman ^ pic.twitter.com/D2AYlt6mhO
2020-03-14, pic.twitter.com/fR6kxGt7Iu
2020-03-14, pic.twitter.com/snSPbmiA89
2020-03-14,for u ramby pic.twitter.com/BwyoDdgC4B
2020-03-14,huge L
2020-03-14,"Curious,  im not a Keem fanboy and dont really care for him, but why show hate to someone just cause, even when they have you blocked? Is life that boring for you? pic.twitter.com/UVR1OO2nhG"
2020-03-14, pic.twitter.com/mtdDZuJOt1
2020-03-14, pic.twitter.com/vTxopTAlXU
2020-03-13, pic.twitter.com/GPQUvWdcHx
2020-03-13,I hope i die.
2020-03-13,"If you represent his fans, nobody will want to be with his fanbase. Being toxic because someone doesn't like the same music as you."
2020-03-13, pic.twitter.com/W9YO2gFtlj
2020-03-13,shut up ur gay
2020-03-13,💛
2020-03-13,YOOO LMAO pic.twitter.com/ovUB2EMuuz
2020-03-13,"Even if they didnt, why would you go either way?"
2020-03-13,"So its the people who interpret it negatively is their fault for always taking things like that, not Myths fault."
2020-03-13,But he didnt even say anything lmao
2020-03-13, pic.twitter.com/dTQI1TIXBV
2020-03-12,we have this everywhere
2020-03-12,goodnight @joshhnvo if u dont say it back ur fake
2020-03-12,3 inches isnt good bro pic.twitter.com/awsdPBxtwW
2020-03-12,broo fine***
2020-03-12,theres no way you think you'd win against me pic.twitter.com/yNHH2fsiHC
2020-03-12,bro im literally baptizing you on that no bullshit
2020-03-12,ggs josh pic.twitter.com/R0UvI9zGIa
2020-03-12,me rn pic.twitter.com/6DHEf3ZasB
2020-03-12,when sent it i was like this pic.twitter.com/GBi7tg6bnc
2020-03-12,"bro u sent me ur shit ur extremely average, download it"
2020-03-12,u need it bro
2020-03-12,no sir im keeping mine
2020-03-12,good try but im 6'2 and jacked good luck even reaching my head hahahaha
2020-03-12,i can always try something new
2020-03-12,💀💀
2020-03-12,get a room idiots
2020-03-12,"@smdthunder @416romo 
Have fun boys"
2020-03-12, pic.twitter.com/VdyeZWhdTK
2020-03-12,Make this ur new pfp bro
2020-03-12,sounds like a team in debt
2020-03-12,what happen
2020-03-11,ok lmk
2020-03-11,yes
2020-03-11,"i wish i could help bro, even one of my good friends have crippling anxiety. gotta find your confidence bro"
2020-03-11,Bro cmon pic.twitter.com/ElIAF01lW0
2020-03-11,I meant you shut josh down idiot
2020-03-11,bruh i just left my house
2020-03-11,@TodayIWasSilly @SaskiaKnows @TeddyRecKs @joshhnvo easy 1v4
2020-03-11,bro what Hppend
2020-03-11,Is that Teddy in the flesh? pic.twitter.com/6cCGiQfpHC
2020-03-11,LMAOOOOO Rip your vbucks
2020-03-11,Shut that down asap
2020-03-10, pic.twitter.com/CtM1YVYBJr
2020-03-10,this kinda creepy
2020-03-10,hyper realistic bandanna got damn
2020-03-10,😂😂😂
2020-03-10,Nah too late pic.twitter.com/CNNZs9XYbl
2020-03-10,What does that even mean??
2020-03-10,i could vouch you look better
2020-03-09,lmk
2020-03-09,"idk i might, if not we can still do console"
2020-03-09,i might get a pc soon
2020-03-09, pic.twitter.com/3NTx3LxxnB
2020-03-09,??????????????
2020-03-09,Wale up in the morning? Is that what they say in wales?
2020-03-09, pic.twitter.com/1SOfBu8nMV
2020-03-08,appreciate those
2020-03-08,"I have no more, so enjoy this. pic.twitter.com/XfZzNxpqKm"
2020-03-08, pic.twitter.com/lgoljyMkt4
2020-03-08, pic.twitter.com/OFJfMGkYn8
2020-03-08, pic.twitter.com/VMIznsktRr
2020-03-08, pic.twitter.com/iET2hkFtTl
2020-03-08,@416romo
2020-03-07,bro u dodged my xps duos :(
2020-03-07,no way to fix that as far as i know
2020-03-07,???
2020-03-07, pic.twitter.com/gNjGnUa1hW
2020-03-06,"Electricity, white hair, assassin"
2020-03-06,whenever u get vbuck
2020-03-06,u said u would gift
2020-03-06,fake
2020-03-06,Stick to fifa homie
2020-03-06,Its ok bro chill here wit me pic.twitter.com/Xwi1MQpLGk
2020-03-06, pic.twitter.com/EBrfQ3hpnD
2020-03-06, pic.twitter.com/WoTqq2iR1X
2020-03-06,Cap
2020-03-06,You're ass
2020-03-06,Just kidding bb pic.twitter.com/1Y3R3BzQbn
2020-03-06,❤
2020-03-06,no sir
2020-03-06,"im broke, xps mw?"
2020-03-05,shutcho ass up
2020-03-05, pic.twitter.com/x4mFbJmsD3
2020-03-05, pic.twitter.com/JpmfSGwaTn
2020-03-05,@Yarppie not a fucking chance
2020-03-05,ok crack dealer
2020-03-05,6'6 :(
2020-03-05,She needs an upgrade my guy
2020-03-05,i fw this but was this taken with an android?
2020-03-04, pic.twitter.com/v0lbMiA0v1
2020-03-04, pic.twitter.com/XhPEG4mrya
2020-03-04,@comcast
2020-03-04,????????????????????
2020-03-04,?????
2020-03-04,i gotchu Ted
2020-03-04, pic.twitter.com/npQdxq9ANK
2020-03-04,;(( Whyyy i hope everything goes good for you bro
2020-03-04,ok edge lord
2020-03-03,Finally nigga
2020-03-03, pic.twitter.com/p0RqOuDFMi
2020-03-02, pic.twitter.com/YeI7kEYHen
2020-03-02, pic.twitter.com/mr5s81R0RW
2020-03-02,then it isnt lol
2020-03-02,Lucid?
2020-03-02, pic.twitter.com/KO3HgyBiL3
2020-03-02,i wish i made someone horny 😔
2020-03-02,@DownloaderBot
2020-03-02, pic.twitter.com/00z58G8C2V
2020-03-02,"Now that looks good, aint got nothin on mine doe pic.twitter.com/Tc4CVgoIla"
2020-03-02, pic.twitter.com/vKdc7Xixfx
2020-03-01, pic.twitter.com/uB4e8nyI0H
2020-03-01, pic.twitter.com/VZLqe6lqan
2020-03-01,I still cant believe josh is a bully pic.twitter.com/KPvjCyJccG
2020-03-01,i cant tell if you're trolling or not pic.twitter.com/Masc9emgbI
2020-03-01, pic.twitter.com/H6LST2RLGx
2020-03-01,Coulda bought me a skin ong
2020-03-01, pic.twitter.com/IemBkSi1dX
2020-03-01,this guy always gives me a laugh hope u ha ha pic.twitter.com/cTsnjlvjK3
2020-03-01, pic.twitter.com/ZDPa6whOfg
2020-02-29, pic.twitter.com/MyoKSqY4eP
2020-02-29, pic.twitter.com/kRAOdaYKt7
2020-02-29,Ggs
2020-02-29,Fort with me and joe?
2020-02-29,vibin pic.twitter.com/zBGnkEuCC4
2020-02-29,Good morning joe how are you
2020-02-29,life sucks but i smile 😁
2020-02-28,Bro...im not gay pic.twitter.com/BrIbVJEWP4
2020-02-28,"Yea and my name is big daddy, buy me a skin"
